;Team;Result;For;Aga;Diff;HTf;HTa;Opposition;Ground;Match Date;TeamRk;OppRk
708;Georgia;lost;9;36;-27;9;10;Scotland;Murrayfield;2019-09-06;;
709;Scotland;won;36;9;27;10;9;Georgia;Murrayfield;2019-09-06;;
710;Japan;lost;7;41;-34;0;22;South Africa;Kumagaya;2019-09-06;;
711;South Africa;won;41;7;34;22;0;Japan;Kumagaya;2019-09-06;;
712;Italy;lost;0;37;-37;0;9;England;Newcastle;2019-09-06;;
713;Ireland;won;19;10;9;7;10;Wales;Lansdowne Road;2019-09-07;;
714;New Zealand;won;92;7;85;54;0;Tonga;Hamilton;2019-09-07;;
715;Canada;lost;15;20;-5;10;12;United States of America;Vancouver;2019-09-07;;
716;Australia;won;34;15;19;22;3;Samoa;Parramatta;2019-09-07;;
717;Tonga;lost;7;92;-85;0;54;New Zealand;Hamilton;2019-09-07;;
718;United States of America;won;20;15;5;12;10;Canada;Vancouver;2019-09-07;;
719;Samoa;lost;15;34;-19;3;22;Australia;Parramatta;2019-09-07;;
720;Wales;lost;10;19;-9;10;7;Ireland;Lansdowne Road;2019-09-07;;
